step 0: train loss 10.7557, val loss 10.7643
iter 157: loss 0.4953, time 713.67ms, mfu 0.02%
iter 158: loss 0.4811, time 726.44ms, mfu 0.02%
iter 159: loss 0.5529, time 706.61ms, mfu 0.02%
iter 160: loss 0.6160, time 784.78ms, mfu 0.01%
iter 161: loss 0.5511, time 705.94ms, mfu 0.01%
iter 162: loss 0.5520, time 740.33ms, mfu 0.01%
iter 163: loss 0.4923, time 711.13ms, mfu 0.01%
iter 164: loss 0.5506, time 711.79ms, mfu 0.01%
iter 165: loss 0.4804, time 720.24ms, mfu 0.01%
iter 166: loss 0.4755, time 705.23ms, mfu 0.01%
iter 167: loss 0.4729, time 709.16ms, mfu 0.02%
iter 168: loss 0.5013, time 714.34ms, mfu 0.02%
iter 169: loss 0.4838, time 713.16ms, mfu 0.02%
iter 170: loss 0.4345, time 714.87ms, mfu 0.02%
iter 171: loss 0.4729, time 700.67ms, mfu 0.02%
iter 172: loss 0.4976, time 771.32ms, mfu 0.01%
iter 173: loss 0.4564, time 699.77ms, mfu 0.01%
iter 174: loss 0.4727, time 714.31ms, mfu 0.02%
iter 175: loss 0.4440, time 719.81ms, mfu 0.02%
iter 176: loss 0.4688, time 706.13ms, mfu 0.02%
iter 177: loss 0.4954, time 722.43ms, mfu 0.02%
iter 178: loss 0.4620, time 742.88ms, mfu 0.01%
iter 179: loss 0.4992, time 686.85ms, mfu 0.02%
iter 180: loss 0.4725, time 709.93ms, mfu 0.02%
iter 181: loss 0.4707, time 703.17ms, mfu 0.02%
iter 182: loss 0.4584, time 724.38ms, mfu 0.02%
iter 183: loss 0.4558, time 703.72ms, mfu 0.02%
iter 184: loss 0.4321, time 685.12ms, mfu 0.02%
iter 185: loss 0.4294, time 674.82ms, mfu 0.02%
iter 186: loss 0.4985, time 685.95ms, mfu 0.02%
iter 187: loss 0.4620, time 671.42ms, mfu 0.02%
iter 188: loss 0.4431, time 694.66ms, mfu 0.02%
iter 189: loss 0.4324, time 689.41ms, mfu 0.02%
iter 190: loss 0.4530, time 681.85ms, mfu 0.02%
iter 191: loss 0.4167, time 668.99ms, mfu 0.02%
iter 192: loss 0.4238, time 697.14ms, mfu 0.02%
iter 193: loss 0.4590, time 686.99ms, mfu 0.02%
iter 194: loss 0.4543, time 687.92ms, mfu 0.02%
iter 195: loss 0.4556, time 732.84ms, mfu 0.02%
iter 196: loss 0.4664, time 679.52ms, mfu 0.02%
iter 197: loss 0.4530, time 677.85ms, mfu 0.02%
iter 198: loss 0.4457, time 671.69ms, mfu 0.02%
iter 199: loss 0.4273, time 664.96ms, mfu 0.02%
iter 200: loss 0.4415, time 679.57ms, mfu 0.02%
iter 201: loss 0.4266, time 671.36ms, mfu 0.02%
iter 202: loss 0.4362, time 667.48ms, mfu 0.02%
iter 203: loss 0.4318, time 672.56ms, mfu 0.02%
iter 204: loss 0.4441, time 664.01ms, mfu 0.02%
iter 205: loss 0.4609, time 670.77ms, mfu 0.02%
iter 206: loss 0.4391, time 676.93ms, mfu 0.02%
iter 207: loss 0.4375, time 668.20ms, mfu 0.02%
iter 208: loss 0.4482, time 669.84ms, mfu 0.02%
iter 209: loss 0.4250, time 678.00ms, mfu 0.02%
iter 210: loss 0.4463, time 711.82ms, mfu 0.02%
iter 211: loss 0.4425, time 686.32ms, mfu 0.02%
iter 212: loss 0.4246, time 693.08ms, mfu 0.02%
iter 213: loss 0.4704, time 702.02ms, mfu 0.02%
iter 214: loss 0.5231, time 683.10ms, mfu 0.02%
iter 215: loss 0.4656, time 712.39ms, mfu 0.02%
iter 216: loss 0.4337, time 689.75ms, mfu 0.02%
iter 217: loss 0.5760, time 671.50ms, mfu 0.02%
iter 218: loss 0.4809, time 672.13ms, mfu 0.02%
iter 219: loss 0.4400, time 671.03ms, mfu 0.02%
iter 220: loss 0.4688, time 686.94ms, mfu 0.02%
iter 221: loss 0.4303, time 681.72ms, mfu 0.02%
iter 222: loss 0.4057, time 702.82ms, mfu 0.02%
iter 223: loss 0.4526, time 706.91ms, mfu 0.02%
iter 224: loss 0.4782, time 714.16ms, mfu 0.02%
iter 225: loss 0.4352, time 728.58ms, mfu 0.02%
iter 226: loss 0.4027, time 673.23ms, mfu 0.02%
iter 227: loss 0.3982, time 695.72ms, mfu 0.02%
iter 228: loss 0.4474, time 681.46ms, mfu 0.02%
iter 229: loss 0.4094, time 677.89ms, mfu 0.02%
iter 230: loss 0.4141, time 673.37ms, mfu 0.02%
iter 231: loss 0.4155, time 657.82ms, mfu 0.02%
iter 232: loss 0.4191, time 675.49ms, mfu 0.02%
iter 233: loss 0.4168, time 671.58ms, mfu 0.02%
iter 234: loss 0.3833, time 668.48ms, mfu 0.02%
iter 235: loss 0.4147, time 683.39ms, mfu 0.02%
iter 236: loss 0.4040, time 667.44ms, mfu 0.02%
iter 237: loss 0.4001, time 662.91ms, mfu 0.02%
iter 238: loss 0.3942, time 657.69ms, mfu 0.02%
iter 239: loss 0.4040, time 671.47ms, mfu 0.02%
iter 240: loss 0.4067, time 657.69ms, mfu 0.02%
iter 241: loss 0.3880, time 662.30ms, mfu 0.02%
iter 242: loss 0.3998, time 668.09ms, mfu 0.02%
iter 243: loss 0.3900, time 660.45ms, mfu 0.02%
iter 244: loss 0.3986, time 693.49ms, mfu 0.02%
iter 245: loss 0.4277, time 672.61ms, mfu 0.02%
iter 246: loss 0.3986, time 658.04ms, mfu 0.02%
iter 247: loss 0.3851, time 654.16ms, mfu 0.02%
iter 248: loss 0.3924, time 670.04ms, mfu 0.02%
iter 249: loss 0.3898, time 654.76ms, mfu 0.02%
step 250: train loss 0.3974, val loss 0.4663
saving checkpoint to out-multi
iter 250: loss 0.3751, time 10270.99ms, mfu 0.01%
iter 251: loss 0.3987, time 698.76ms, mfu 0.01%
iter 252: loss 0.3984, time 796.17ms, mfu 0.01%
iter 253: loss 0.3955, time 709.85ms, mfu 0.01%
iter 254: loss 0.4047, time 694.24ms, mfu 0.01%
iter 255: loss 0.4221, time 726.78ms, mfu 0.01%
iter 256: loss 0.4066, time 771.24ms, mfu 0.01%
iter 257: loss 0.3979, time 711.42ms, mfu 0.01%
iter 258: loss 0.4068, time 667.41ms, mfu 0.01%
iter 259: loss 0.4219, time 666.60ms, mfu 0.01%
iter 260: loss 0.3931, time 702.93ms, mfu 0.02%
iter 261: loss 0.4315, time 753.46ms, mfu 0.01%
iter 262: loss 0.3967, time 673.89ms, mfu 0.02%
iter 263: loss 0.3855, time 694.07ms, mfu 0.02%
iter 264: loss 0.4206, time 694.54ms, mfu 0.02%
iter 265: loss 0.4336, time 723.98ms, mfu 0.02%
iter 266: loss 0.3826, time 669.03ms, mfu 0.02%
iter 267: loss 0.3892, time 710.42ms, mfu 0.02%
iter 268: loss 0.3863, time 694.68ms, mfu 0.02%
iter 269: loss 0.4211, time 671.97ms, mfu 0.02%
iter 270: loss 0.4084, time 710.60ms, mfu 0.02%
iter 271: loss 0.3832, time 703.62ms, mfu 0.02%
iter 272: loss 0.4915, time 684.68ms, mfu 0.02%
iter 273: loss 0.4123, time 696.81ms, mfu 0.02%
iter 274: loss 0.3945, time 717.61ms, mfu 0.02%
iter 275: loss 0.3914, time 680.65ms, mfu 0.02%
iter 276: loss 0.4016, time 673.20ms, mfu 0.02%
iter 277: loss 0.3800, time 669.36ms, mfu 0.02%
