step 0: train loss 10.7547, val loss 10.7566
iter 328: loss 0.5618, time 633.61ms, mfu 0.02%
iter 329: loss 0.5769, time 631.94ms, mfu 0.02%
iter 330: loss 0.5918, time 640.99ms, mfu 0.02%
iter 331: loss 0.5592, time 685.08ms, mfu 0.02%
iter 332: loss 0.5715, time 734.08ms, mfu 0.02%
iter 333: loss 0.5408, time 721.64ms, mfu 0.02%
iter 334: loss 0.5555, time 710.16ms, mfu 0.02%
iter 335: loss 0.5609, time 675.30ms, mfu 0.02%
iter 336: loss 0.5590, time 684.93ms, mfu 0.02%
iter 337: loss 0.5777, time 649.39ms, mfu 0.02%
iter 338: loss 0.5724, time 664.06ms, mfu 0.02%
iter 339: loss 0.5639, time 642.16ms, mfu 0.02%
iter 340: loss 0.5431, time 665.80ms, mfu 0.02%
iter 341: loss 0.5532, time 717.30ms, mfu 0.02%
iter 342: loss 0.5767, time 687.43ms, mfu 0.02%
iter 343: loss 0.5475, time 631.26ms, mfu 0.02%
iter 344: loss 0.5314, time 635.65ms, mfu 0.02%
iter 345: loss 0.5431, time 629.92ms, mfu 0.02%
iter 346: loss 0.5791, time 632.38ms, mfu 0.02%
iter 347: loss 0.5446, time 655.71ms, mfu 0.02%
iter 348: loss 0.5379, time 646.47ms, mfu 0.02%
iter 349: loss 0.5782, time 652.38ms, mfu 0.02%
iter 350: loss 0.5452, time 628.58ms, mfu 0.02%
iter 351: loss 0.5801, time 626.38ms, mfu 0.02%
iter 352: loss 0.5344, time 637.43ms, mfu 0.02%
iter 353: loss 0.5536, time 674.25ms, mfu 0.02%
iter 354: loss 0.5547, time 721.83ms, mfu 0.02%
iter 355: loss 0.5342, time 760.31ms, mfu 0.02%
iter 356: loss 0.5303, time 624.94ms, mfu 0.02%
iter 357: loss 0.5451, time 650.77ms, mfu 0.02%
iter 358: loss 0.5562, time 645.93ms, mfu 0.02%
iter 359: loss 0.5258, time 644.10ms, mfu 0.02%
iter 360: loss 0.5422, time 673.30ms, mfu 0.02%
iter 361: loss 0.5471, time 700.58ms, mfu 0.02%
iter 362: loss 0.5460, time 645.16ms, mfu 0.02%
iter 363: loss 0.5498, time 633.20ms, mfu 0.02%
iter 364: loss 0.5565, time 631.90ms, mfu 0.02%
iter 365: loss 0.5544, time 626.81ms, mfu 0.02%
iter 366: loss 0.5697, time 629.84ms, mfu 0.02%
iter 367: loss 0.5361, time 629.49ms, mfu 0.02%
iter 368: loss 0.5623, time 625.94ms, mfu 0.02%
iter 369: loss 0.5531, time 631.28ms, mfu 0.02%
iter 370: loss 0.5444, time 633.05ms, mfu 0.02%
iter 371: loss 0.5506, time 626.52ms, mfu 0.02%
iter 372: loss 0.5437, time 654.25ms, mfu 0.02%
iter 373: loss 0.5459, time 698.29ms, mfu 0.02%
iter 374: loss 0.5255, time 688.49ms, mfu 0.02%
iter 375: loss 0.5407, time 671.00ms, mfu 0.02%
iter 376: loss 0.5735, time 695.70ms, mfu 0.02%
iter 377: loss 0.5565, time 679.28ms, mfu 0.02%
iter 378: loss 0.5649, time 654.05ms, mfu 0.02%
iter 379: loss 0.6096, time 676.49ms, mfu 0.02%
iter 380: loss 0.5642, time 666.08ms, mfu 0.02%
iter 381: loss 0.5289, time 656.98ms, mfu 0.02%
iter 382: loss 0.5299, time 677.70ms, mfu 0.02%
iter 383: loss 0.5735, time 673.09ms, mfu 0.02%
iter 384: loss 0.5710, time 657.06ms, mfu 0.02%
iter 385: loss 0.5688, time 677.57ms, mfu 0.02%
iter 386: loss 0.5712, time 678.07ms, mfu 0.02%
iter 387: loss 0.5541, time 648.99ms, mfu 0.02%
iter 388: loss 0.5531, time 661.83ms, mfu 0.02%
iter 389: loss 0.5354, time 645.01ms, mfu 0.02%
iter 390: loss 0.5605, time 632.45ms, mfu 0.02%
iter 391: loss 0.5476, time 637.99ms, mfu 0.02%
iter 392: loss 0.5524, time 649.97ms, mfu 0.02%
iter 393: loss 0.5477, time 670.60ms, mfu 0.02%
iter 394: loss 0.5720, time 651.35ms, mfu 0.02%
iter 395: loss 0.5545, time 642.03ms, mfu 0.02%
iter 396: loss 0.5357, time 635.52ms, mfu 0.02%
iter 397: loss 0.5674, time 632.27ms, mfu 0.02%
iter 398: loss 0.5825, time 635.14ms, mfu 0.02%
iter 399: loss 0.5891, time 652.33ms, mfu 0.02%
iter 400: loss 0.5717, time 651.05ms, mfu 0.02%
iter 401: loss 0.5469, time 697.06ms, mfu 0.02%
iter 402: loss 0.5111, time 659.24ms, mfu 0.02%
iter 403: loss 0.5755, time 659.31ms, mfu 0.02%
iter 404: loss 0.5652, time 681.30ms, mfu 0.02%
iter 405: loss 0.5501, time 684.20ms, mfu 0.02%
iter 406: loss 0.5248, time 667.53ms, mfu 0.02%
iter 407: loss 0.5722, time 648.71ms, mfu 0.02%
iter 408: loss 0.5549, time 646.69ms, mfu 0.02%
iter 409: loss 0.5594, time 655.06ms, mfu 0.02%
iter 410: loss 0.5506, time 641.15ms, mfu 0.02%
iter 411: loss 0.5561, time 644.85ms, mfu 0.02%
iter 412: loss 0.5413, time 650.91ms, mfu 0.02%
iter 413: loss 0.5758, time 648.50ms, mfu 0.02%
iter 414: loss 0.5445, time 646.53ms, mfu 0.02%
iter 415: loss 0.5371, time 633.97ms, mfu 0.02%
iter 416: loss 0.5715, time 637.79ms, mfu 0.02%
iter 417: loss 0.5381, time 683.26ms, mfu 0.02%
iter 418: loss 0.5515, time 717.03ms, mfu 0.02%
iter 419: loss 0.5487, time 743.16ms, mfu 0.02%
iter 420: loss 0.5392, time 637.67ms, mfu 0.02%
iter 421: loss 0.5383, time 626.24ms, mfu 0.02%
iter 422: loss 0.5764, time 624.57ms, mfu 0.02%
iter 423: loss 0.5681, time 626.35ms, mfu 0.02%
iter 424: loss 0.5467, time 627.94ms, mfu 0.02%
iter 425: loss 0.5488, time 655.73ms, mfu 0.02%
iter 426: loss 0.5613, time 631.43ms, mfu 0.02%
iter 427: loss 0.5464, time 635.24ms, mfu 0.02%
iter 428: loss 0.5722, time 656.59ms, mfu 0.02%
iter 429: loss 0.5581, time 641.06ms, mfu 0.02%
iter 430: loss 0.5332, time 683.35ms, mfu 0.02%
iter 431: loss 0.5320, time 828.89ms, mfu 0.02%
iter 432: loss 0.5535, time 718.70ms, mfu 0.02%
iter 433: loss 0.5278, time 664.35ms, mfu 0.02%
iter 434: loss 0.5227, time 643.55ms, mfu 0.02%
iter 435: loss 0.5560, time 647.71ms, mfu 0.02%
iter 436: loss 0.5459, time 634.65ms, mfu 0.02%
iter 437: loss 0.5388, time 631.48ms, mfu 0.02%
iter 438: loss 0.5244, time 650.85ms, mfu 0.02%
iter 439: loss 0.5680, time 652.46ms, mfu 0.02%
iter 440: loss 0.5344, time 640.86ms, mfu 0.02%
iter 441: loss 0.5494, time 636.02ms, mfu 0.02%
iter 442: loss 0.5456, time 656.14ms, mfu 0.02%
iter 443: loss 0.5652, time 624.09ms, mfu 0.02%
iter 444: loss 0.5448, time 624.07ms, mfu 0.02%
iter 445: loss 0.5681, time 628.11ms, mfu 0.02%
iter 446: loss 0.5382, time 625.61ms, mfu 0.02%
iter 447: loss 0.5189, time 622.44ms, mfu 0.02%
iter 448: loss 0.5486, time 639.88ms, mfu 0.02%
iter 449: loss 0.5566, time 621.58ms, mfu 0.02%
iter 450: loss 0.5332, time 628.32ms, mfu 0.02%
iter 451: loss 0.5358, time 629.03ms, mfu 0.02%
iter 452: loss 0.5413, time 625.55ms, mfu 0.02%
iter 453: loss 0.5194, time 627.32ms, mfu 0.02%
iter 454: loss 0.5588, time 626.66ms, mfu 0.02%
iter 455: loss 0.5309, time 624.34ms, mfu 0.02%
iter 456: loss 0.5560, time 629.91ms, mfu 0.02%
iter 457: loss 0.5431, time 630.03ms, mfu 0.02%
iter 458: loss 0.5456, time 625.24ms, mfu 0.02%
iter 459: loss 0.5357, time 627.46ms, mfu 0.02%
iter 460: loss 0.5309, time 643.60ms, mfu 0.02%
iter 461: loss 0.5322, time 631.29ms, mfu 0.02%
iter 462: loss 0.5278, time 653.60ms, mfu 0.02%
