step 0: train loss 10.7572, val loss 10.7533
iter 146: loss 1.2128, time 731.07ms, mfu 0.02%
iter 147: loss 1.1569, time 662.81ms, mfu 0.02%
iter 148: loss 1.1970, time 695.11ms, mfu 0.02%
iter 149: loss 1.2201, time 722.77ms, mfu 0.02%
iter 150: loss 1.1810, time 707.67ms, mfu 0.02%
iter 151: loss 1.1596, time 701.06ms, mfu 0.02%
iter 152: loss 1.1882, time 711.27ms, mfu 0.02%
iter 153: loss 1.1350, time 696.70ms, mfu 0.02%
iter 154: loss 1.1058, time 688.62ms, mfu 0.02%
iter 155: loss 1.1607, time 702.10ms, mfu 0.02%
iter 156: loss 1.1284, time 666.65ms, mfu 0.02%
iter 157: loss 1.1621, time 661.08ms, mfu 0.02%
iter 158: loss 1.1276, time 667.32ms, mfu 0.02%
iter 159: loss 1.1216, time 698.03ms, mfu 0.02%
iter 160: loss 1.1241, time 687.55ms, mfu 0.02%
iter 161: loss 1.1188, time 683.88ms, mfu 0.02%
iter 162: loss 1.1045, time 669.74ms, mfu 0.02%
iter 163: loss 1.1506, time 672.38ms, mfu 0.02%
iter 164: loss 1.1270, time 693.36ms, mfu 0.02%
iter 165: loss 1.1152, time 678.91ms, mfu 0.02%
iter 166: loss 1.1192, time 655.82ms, mfu 0.02%
iter 167: loss 1.1462, time 831.12ms, mfu 0.02%
iter 168: loss 1.1096, time 994.69ms, mfu 0.01%
iter 169: loss 1.0822, time 704.53ms, mfu 0.02%
iter 170: loss 1.0992, time 685.24ms, mfu 0.02%
iter 171: loss 1.0890, time 687.84ms, mfu 0.02%
iter 172: loss 1.0967, time 657.56ms, mfu 0.02%
iter 173: loss 1.1023, time 703.73ms, mfu 0.02%
iter 174: loss 1.0592, time 725.91ms, mfu 0.02%
iter 175: loss 1.0428, time 671.06ms, mfu 0.02%
iter 176: loss 1.0662, time 713.50ms, mfu 0.02%
iter 177: loss 1.1132, time 688.29ms, mfu 0.02%
iter 178: loss 1.0684, time 750.93ms, mfu 0.02%
iter 179: loss 1.0421, time 738.67ms, mfu 0.02%
iter 180: loss 1.0421, time 736.07ms, mfu 0.02%
iter 181: loss 1.0565, time 724.29ms, mfu 0.02%
iter 182: loss 1.0214, time 712.12ms, mfu 0.02%
iter 183: loss 1.0200, time 676.55ms, mfu 0.02%
iter 184: loss 1.0290, time 681.40ms, mfu 0.02%
iter 185: loss 1.0251, time 668.51ms, mfu 0.02%
iter 186: loss 1.0468, time 664.91ms, mfu 0.02%
iter 187: loss 1.0810, time 691.88ms, mfu 0.02%
iter 188: loss 1.0190, time 680.48ms, mfu 0.02%
iter 189: loss 1.0173, time 728.73ms, mfu 0.02%
iter 190: loss 1.0659, time 763.49ms, mfu 0.02%
iter 191: loss 1.0356, time 953.98ms, mfu 0.01%
iter 192: loss 1.0257, time 675.67ms, mfu 0.01%
iter 193: loss 1.0359, time 671.12ms, mfu 0.02%
iter 194: loss 1.0348, time 682.10ms, mfu 0.02%
iter 195: loss 1.0349, time 695.76ms, mfu 0.02%
iter 196: loss 1.0253, time 687.56ms, mfu 0.02%
iter 197: loss 1.0129, time 670.03ms, mfu 0.02%
iter 198: loss 1.0196, time 663.93ms, mfu 0.02%
iter 199: loss 0.9983, time 672.29ms, mfu 0.02%
iter 200: loss 1.0022, time 681.98ms, mfu 0.02%
iter 201: loss 1.0488, time 716.15ms, mfu 0.02%
iter 202: loss 1.0967, time 733.21ms, mfu 0.02%
iter 203: loss 1.0374, time 684.89ms, mfu 0.02%
iter 204: loss 1.0169, time 674.43ms, mfu 0.02%
iter 205: loss 1.0205, time 676.34ms, mfu 0.02%
iter 206: loss 0.9995, time 683.18ms, mfu 0.02%
iter 207: loss 1.0369, time 666.30ms, mfu 0.02%
iter 208: loss 0.9894, time 659.65ms, mfu 0.02%
iter 209: loss 1.0116, time 668.87ms, mfu 0.02%
iter 210: loss 1.0370, time 614.39ms, mfu 0.02%
iter 211: loss 1.0319, time 675.16ms, mfu 0.02%
iter 212: loss 1.0299, time 697.38ms, mfu 0.02%
iter 213: loss 1.0190, time 757.49ms, mfu 0.02%
iter 214: loss 1.0311, time 974.55ms, mfu 0.02%
iter 215: loss 1.0001, time 721.83ms, mfu 0.02%
iter 216: loss 0.9899, time 695.67ms, mfu 0.02%
iter 217: loss 1.0373, time 867.10ms, mfu 0.01%
iter 218: loss 1.0439, time 684.10ms, mfu 0.02%
iter 219: loss 0.9854, time 726.15ms, mfu 0.02%
iter 220: loss 1.0243, time 695.39ms, mfu 0.02%
iter 221: loss 1.0062, time 698.37ms, mfu 0.02%
iter 222: loss 1.0522, time 664.66ms, mfu 0.02%
iter 223: loss 0.9994, time 683.93ms, mfu 0.02%
iter 224: loss 1.0239, time 670.71ms, mfu 0.02%
iter 225: loss 0.9914, time 669.21ms, mfu 0.02%
iter 226: loss 0.9921, time 664.89ms, mfu 0.02%
iter 227: loss 0.9802, time 664.55ms, mfu 0.02%
iter 228: loss 0.9778, time 687.65ms, mfu 0.02%
iter 229: loss 0.9638, time 660.74ms, mfu 0.02%
iter 230: loss 0.9564, time 665.99ms, mfu 0.02%
iter 231: loss 0.9610, time 681.34ms, mfu 0.02%
iter 232: loss 0.9586, time 682.63ms, mfu 0.02%
iter 233: loss 0.9576, time 687.14ms, mfu 0.02%
iter 234: loss 1.0121, time 681.06ms, mfu 0.02%
iter 235: loss 1.0571, time 680.86ms, mfu 0.02%
iter 236: loss 1.0118, time 736.82ms, mfu 0.02%
iter 237: loss 0.9886, time 1016.70ms, mfu 0.02%
iter 238: loss 0.9817, time 694.30ms, mfu 0.02%
iter 239: loss 1.0335, time 689.15ms, mfu 0.02%
iter 240: loss 0.9819, time 729.42ms, mfu 0.02%
iter 241: loss 0.9722, time 687.71ms, mfu 0.02%
iter 242: loss 1.0296, time 679.78ms, mfu 0.02%
iter 243: loss 1.0229, time 688.73ms, mfu 0.02%
iter 244: loss 0.9479, time 669.08ms, mfu 0.02%
iter 245: loss 1.0334, time 715.00ms, mfu 0.02%
iter 246: loss 1.0512, time 701.75ms, mfu 0.02%
iter 247: loss 0.9872, time 667.61ms, mfu 0.02%
iter 248: loss 0.9987, time 685.31ms, mfu 0.02%
iter 249: loss 1.0118, time 666.45ms, mfu 0.02%
step 250: train loss 0.9829, val loss 0.9336
saving checkpoint to out-multi
iter 250: loss 0.9387, time 10824.68ms, mfu 0.01%
iter 251: loss 0.9381, time 673.88ms, mfu 0.01%
iter 252: loss 0.9724, time 672.56ms, mfu 0.01%
iter 253: loss 0.9571, time 683.59ms, mfu 0.01%
iter 254: loss 0.9722, time 668.65ms, mfu 0.01%
iter 255: loss 0.9975, time 673.50ms, mfu 0.01%
iter 256: loss 0.9694, time 665.50ms, mfu 0.01%
iter 257: loss 0.9833, time 668.67ms, mfu 0.02%
iter 258: loss 0.9880, time 740.41ms, mfu 0.02%
iter 259: loss 0.9925, time 918.16ms, mfu 0.01%
iter 260: loss 0.9583, time 785.11ms, mfu 0.01%
iter 261: loss 0.9568, time 732.99ms, mfu 0.01%
iter 262: loss 0.9630, time 702.64ms, mfu 0.01%
iter 263: loss 0.9797, time 904.35ms, mfu 0.01%
iter 264: loss 0.9999, time 851.02ms, mfu 0.01%
iter 265: loss 0.9417, time 793.30ms, mfu 0.01%
iter 266: loss 0.9671, time 715.28ms, mfu 0.01%
iter 267: loss 0.9604, time 725.32ms, mfu 0.01%
iter 268: loss 0.9616, time 769.68ms, mfu 0.01%
iter 269: loss 0.9440, time 826.01ms, mfu 0.01%
iter 270: loss 0.9698, time 844.58ms, mfu 0.01%
iter 271: loss 0.9715, time 723.46ms, mfu 0.01%
iter 272: loss 0.9443, time 684.62ms, mfu 0.01%
iter 273: loss 0.9629, time 745.69ms, mfu 0.01%
iter 274: loss 0.9768, time 732.71ms, mfu 0.01%
iter 275: loss 0.9581, time 802.55ms, mfu 0.01%
iter 276: loss 0.9694, time 1192.13ms, mfu 0.01%
iter 277: loss 0.9831, time 715.10ms, mfu 0.01%
iter 278: loss 0.9296, time 746.52ms, mfu 0.01%
iter 279: loss 0.9577, time 693.37ms, mfu 0.01%
iter 280: loss 0.9510, time 699.91ms, mfu 0.01%
iter 281: loss 0.9209, time 695.23ms, mfu 0.01%
iter 282: loss 0.9837, time 680.16ms, mfu 0.01%
iter 283: loss 0.9421, time 690.59ms, mfu 0.01%
iter 284: loss 0.9713, time 662.93ms, mfu 0.01%
iter 285: loss 0.9860, time 663.23ms, mfu 0.01%
iter 286: loss 0.9305, time 660.89ms, mfu 0.02%
iter 287: loss 0.9481, time 779.92ms, mfu 0.01%
iter 288: loss 0.9471, time 912.96ms, mfu 0.01%
iter 289: loss 1.0008, time 676.83ms, mfu 0.01%
iter 290: loss 0.9899, time 950.20ms, mfu 0.01%
iter 291: loss 0.9447, time 906.12ms, mfu 0.01%
iter 292: loss 0.9682, time 730.97ms, mfu 0.01%
iter 293: loss 0.9612, time 660.57ms, mfu 0.01%
iter 294: loss 0.9486, time 714.43ms, mfu 0.01%
iter 295: loss 0.9637, time 861.42ms, mfu 0.01%
iter 296: loss 0.9538, time 772.00ms, mfu 0.01%
iter 297: loss 0.9597, time 866.77ms, mfu 0.01%
iter 298: loss 0.9552, time 1090.97ms, mfu 0.01%
iter 299: loss 0.9262, time 680.47ms, mfu 0.01%
iter 300: loss 0.9492, time 701.22ms, mfu 0.01%
iter 301: loss 0.9768, time 709.38ms, mfu 0.01%
iter 302: loss 0.9637, time 712.88ms, mfu 0.01%
iter 303: loss 0.9206, time 1069.94ms, mfu 0.01%
iter 304: loss 0.9494, time 767.13ms, mfu 0.01%
iter 305: loss 0.9786, time 1183.64ms, mfu 0.01%
iter 306: loss 0.9540, time 802.78ms, mfu 0.01%
iter 307: loss 0.9708, time 748.40ms, mfu 0.01%
iter 308: loss 0.9453, time 708.04ms, mfu 0.01%
iter 309: loss 0.9764, time 700.64ms, mfu 0.01%
iter 310: loss 0.9335, time 673.64ms, mfu 0.01%
iter 311: loss 0.9508, time 662.06ms, mfu 0.01%
iter 312: loss 0.9317, time 664.38ms, mfu 0.01%
iter 313: loss 0.9808, time 664.39ms, mfu 0.01%
iter 314: loss 0.9448, time 658.47ms, mfu 0.01%
iter 315: loss 0.9422, time 684.26ms, mfu 0.01%
iter 316: loss 0.9554, time 742.48ms, mfu 0.01%
iter 317: loss 0.9350, time 709.73ms, mfu 0.01%
iter 318: loss 0.9261, time 739.93ms, mfu 0.01%
iter 319: loss 0.9423, time 765.17ms, mfu 0.01%
iter 320: loss 0.9588, time 734.95ms, mfu 0.01%
iter 321: loss 0.9562, time 726.98ms, mfu 0.01%
iter 322: loss 0.9650, time 681.67ms, mfu 0.01%
iter 323: loss 0.9699, time 727.56ms, mfu 0.01%
iter 324: loss 0.9981, time 682.92ms, mfu 0.01%
iter 325: loss 0.9308, time 729.07ms, mfu 0.01%
iter 326: loss 0.9638, time 657.60ms, mfu 0.02%
iter 327: loss 0.9439, time 705.42ms, mfu 0.02%
iter 328: loss 0.9695, time 667.78ms, mfu 0.02%
iter 329: loss 0.9430, time 702.30ms, mfu 0.02%
iter 330: loss 0.9306, time 712.72ms, mfu 0.02%
iter 331: loss 0.9446, time 672.90ms, mfu 0.02%
iter 332: loss 0.9532, time 717.52ms, mfu 0.02%
iter 333: loss 0.9573, time 722.49ms, mfu 0.02%
iter 334: loss 0.9559, time 692.26ms, mfu 0.02%
iter 335: loss 0.9753, time 728.80ms, mfu 0.02%
iter 336: loss 0.9441, time 739.65ms, mfu 0.02%
iter 337: loss 0.9485, time 757.39ms, mfu 0.02%
iter 338: loss 0.9401, time 692.96ms, mfu 0.02%
iter 339: loss 0.9534, time 756.20ms, mfu 0.02%
iter 340: loss 0.9579, time 768.95ms, mfu 0.01%
iter 341: loss 0.9271, time 813.10ms, mfu 0.01%
iter 342: loss 0.9738, time 675.63ms, mfu 0.01%
iter 343: loss 0.9041, time 659.45ms, mfu 0.02%
iter 344: loss 0.9634, time 952.91ms, mfu 0.01%
iter 345: loss 0.9345, time 767.29ms, mfu 0.01%
iter 346: loss 0.9709, time 720.16ms, mfu 0.01%
iter 347: loss 0.9486, time 676.08ms, mfu 0.01%
iter 348: loss 0.9272, time 1045.33ms, mfu 0.01%
iter 349: loss 0.9269, time 1559.39ms, mfu 0.01%
iter 350: loss 0.9569, time 839.91ms, mfu 0.01%
iter 351: loss 0.9311, time 811.36ms, mfu 0.01%
iter 352: loss 0.8934, time 718.26ms, mfu 0.01%
iter 353: loss 0.9294, time 732.45ms, mfu 0.01%
iter 354: loss 0.9512, time 712.05ms, mfu 0.01%
iter 355: loss 0.9310, time 714.93ms, mfu 0.01%
iter 356: loss 0.9320, time 711.91ms, mfu 0.01%
iter 357: loss 0.9345, time 703.10ms, mfu 0.01%
iter 358: loss 0.9290, time 696.47ms, mfu 0.01%
iter 359: loss 0.9244, time 725.59ms, mfu 0.01%
iter 360: loss 0.9178, time 703.37ms, mfu 0.01%
iter 361: loss 0.9604, time 728.54ms, mfu 0.01%
iter 362: loss 0.9870, time 689.83ms, mfu 0.01%
iter 363: loss 0.9471, time 698.52ms, mfu 0.01%
iter 364: loss 0.9248, time 721.54ms, mfu 0.01%
iter 365: loss 0.9461, time 700.60ms, mfu 0.01%
iter 366: loss 0.9141, time 701.51ms, mfu 0.01%
iter 367: loss 0.9798, time 679.16ms, mfu 0.01%
iter 368: loss 0.9101, time 721.54ms, mfu 0.01%
iter 369: loss 0.9989, time 711.53ms, mfu 0.01%
iter 370: loss 0.9389, time 669.83ms, mfu 0.02%
iter 371: loss 0.9309, time 761.98ms, mfu 0.01%
iter 372: loss 0.9126, time 804.49ms, mfu 0.01%
iter 373: loss 0.9436, time 1090.20ms, mfu 0.01%
iter 374: loss 0.9263, time 688.92ms, mfu 0.01%
iter 375: loss 0.9417, time 706.01ms, mfu 0.01%
iter 376: loss 0.9543, time 703.47ms, mfu 0.01%
iter 377: loss 0.9510, time 676.14ms, mfu 0.01%
iter 378: loss 0.9563, time 699.53ms, mfu 0.01%
iter 379: loss 0.9125, time 714.09ms, mfu 0.01%
iter 380: loss 0.9414, time 728.26ms, mfu 0.01%
iter 381: loss 0.9469, time 683.08ms, mfu 0.01%
iter 382: loss 0.9148, time 690.21ms, mfu 0.01%
iter 383: loss 0.9403, time 679.51ms, mfu 0.02%
iter 384: loss 0.9480, time 705.86ms, mfu 0.02%
iter 385: loss 0.9707, time 690.97ms, mfu 0.02%
iter 386: loss 0.9056, time 704.92ms, mfu 0.02%
iter 387: loss 0.9802, time 697.17ms, mfu 0.02%
iter 388: loss 1.0254, time 779.89ms, mfu 0.02%
iter 389: loss 0.9939, time 730.17ms, mfu 0.02%
iter 390: loss 0.9512, time 869.00ms, mfu 0.01%
iter 391: loss 0.9219, time 838.68ms, mfu 0.01%
iter 392: loss 0.9526, time 761.60ms, mfu 0.01%
iter 393: loss 0.9584, time 760.61ms, mfu 0.01%
iter 394: loss 0.9524, time 765.74ms, mfu 0.01%
iter 395: loss 0.9524, time 783.69ms, mfu 0.01%
iter 396: loss 0.9329, time 669.10ms, mfu 0.01%
iter 397: loss 0.9406, time 818.10ms, mfu 0.01%
iter 398: loss 0.9343, time 841.67ms, mfu 0.01%
iter 399: loss 0.9240, time 674.11ms, mfu 0.01%
iter 400: loss 0.9168, time 666.54ms, mfu 0.01%
iter 401: loss 0.9202, time 747.79ms, mfu 0.01%
iter 402: loss 0.9469, time 670.41ms, mfu 0.01%
iter 403: loss 0.9446, time 672.13ms, mfu 0.01%
